Thu Jun 16 04:27:26 2022 Epoch 72, lr: 0.0000727, val loss: 68.56804, acc: 76.30000
Thu Jun 16 04:27:35 2022 Epoch 50, lr: 0.0000864, val loss: 84.31828, acc: 70.34000
Thu Jun 16 04:27:43 2022 Epoch 28, lr: 0.0000959, val loss: 99.52980, acc: 65.13000
Thu Jun 16 04:27:44 2022 Epoch 60, lr: 0.0000806, val loss: 76.08720, acc: 73.49000
Thu Jun 16 04:27:54 2022 Epoch 73, lr: 0.0000720, val loss: 66.68210, acc: 76.85000
Thu Jun 16 04:28:03 2022 Epoch 51, lr: 0.0000859, val loss: 85.99687, acc: 69.76000
Thu Jun 16 04:28:11 2022 Epoch 61, lr: 0.0000800, val loss: 77.25420, acc: 73.02000
Thu Jun 16 04:28:20 2022 Epoch 74, lr: 0.0000713, val loss: 69.62385, acc: 76.26000
Thu Jun 16 04:28:31 2022 Epoch 29, lr: 0.0000956, val loss: 100.07304, acc: 64.30000
Thu Jun 16 04:28:31 2022 Epoch 52, lr: 0.0000854, val loss: 84.10675, acc: 70.48000
Thu Jun 16 04:28:39 2022 Epoch 62, lr: 0.0000794, val loss: 73.13267, acc: 74.67000
Thu Jun 16 04:28:47 2022 Epoch 75, lr: 0.0000706, val loss: 67.06704, acc: 76.60000
Thu Jun 16 04:28:59 2022 Epoch 53, lr: 0.0000848, val loss: 83.35656, acc: 70.99000
Thu Jun 16 04:29:06 2022 Epoch 63, lr: 0.0000788, val loss: 74.86137, acc: 74.14000
Thu Jun 16 04:29:14 2022 Epoch 76, lr: 0.0000699, val loss: 66.60743, acc: 76.77000
Thu Jun 16 04:29:19 2022 Epoch 30, lr: 0.0000952, val loss: 99.71508, acc: 64.52000
Thu Jun 16 04:29:27 2022 Epoch 54, lr: 0.0000842, val loss: 84.72147, acc: 69.96000
Thu Jun 16 04:29:33 2022 Epoch 64, lr: 0.0000781, val loss: 73.25207, acc: 74.38000
Thu Jun 16 04:29:40 2022 Epoch 77, lr: 0.0000691, val loss: 67.97775, acc: 76.41000
Thu Jun 16 04:29:54 2022 Epoch 55, lr: 0.0000837, val loss: 83.43460, acc: 70.60000
Thu Jun 16 04:30:01 2022 Epoch 65, lr: 0.0000775, val loss: 75.41113, acc: 73.78000
Thu Jun 16 04:30:06 2022 Epoch 31, lr: 0.0000949, val loss: 98.65857, acc: 65.39000
Thu Jun 16 04:30:07 2022 Epoch 78, lr: 0.0000684, val loss: 67.24443, acc: 76.67000
Thu Jun 16 04:30:22 2022 Epoch 56, lr: 0.0000831, val loss: 83.63074, acc: 70.29000
Thu Jun 16 04:30:28 2022 Epoch 66, lr: 0.0000768, val loss: 73.64378, acc: 74.59000
Thu Jun 16 04:30:34 2022 Epoch 79, lr: 0.0000677, val loss: 66.20310, acc: 77.11000
Thu Jun 16 04:30:50 2022 Epoch 57, lr: 0.0000825, val loss: 82.57363, acc: 70.66000
Thu Jun 16 04:30:55 2022 Epoch 32, lr: 0.0000946, val loss: 97.66596, acc: 65.26000
Thu Jun 16 04:30:56 2022 Epoch 67, lr: 0.0000761, val loss: 74.22279, acc: 73.94000
Thu Jun 16 04:31:02 2022 Epoch 80, lr: 0.0000669, val loss: 66.07273, acc: 77.13000
Thu Jun 16 04:31:18 2022 Epoch 58, lr: 0.0000819, val loss: 80.23046, acc: 71.58000
Thu Jun 16 04:31:23 2022 Epoch 68, lr: 0.0000755, val loss: 74.91924, acc: 73.71000
Thu Jun 16 04:31:29 2022 Epoch 81, lr: 0.0000662, val loss: 64.71998, acc: 77.25000
